Rank,Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel_Type,Video_Views_Rank,Country_Rank,Channel_Type_Rank,Video_Views_For_The_Last_30_Days,Lowest_Monthly_Earnings,Highest_Monthly_Earnings,Lowest_Yearly_Earnings,Highest_Yearly_Earnings,Subscribers_For_Last_30_Days,Created_Year,Created_Month,Created_Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban_Population,Latitude,Longitude
255,MrBeast en Espaï¿½ï,24200000,2700914170.0,Entertainment,MrBeast en Espaï¿½ï,67,Mexico,MX,Entertainment,3309,10,70,33590000.0,8400.0,134400.0,100800.0,1600000.0,100000,1970-01-01 00:00:00.000002021,Jul,9,40.2,126014024,3.42,102626859,23.634501,-102.552784
256,shfa show India,24200000,15724160183.0,Unknown,shfa show India,469,United Arab Emirates,AE,People,203,3,9,151208000.0,37800.0,604800.0,453600.0,7300000.0,200000,1970-01-01 00:00:00.000002019,Apr,1,36.8,9770529,2.35,8479744,23.424076,53.847818
257,Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870.0,Unknown,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,40117,77,15,328503000.0,82100.0,1300000.0,985500.0,15800000.0,100000,1970-01-01 00:00:00.000002019,May,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
258,Alejo Igoa,24100000,10999000479.0,Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,376,4,71,401512000.0,100400.0,1600000.0,1200000.0,19300000.0,600000,1970-01-01 00:00:00.000002014,Jan,17,90.0,44938712,9.79,41339571,-38.416097,-63.616672
259,Daniel LaBelle,24100000,12916159065.0,Comedy,Daniel LaBelle,287,Unknown,Unknown,Comedy,290,0,14,398765000.0,99700.0,1600000.0,1200000.0,19100000.0,700000,1970-01-01 00:00:00.000002009,Mar,11,0.0,0,0.0,0,0.0,0.0
260,netd mï¿½ï¿,24100000,56106087508.0,Music,netd mï¿½ï¿,23491,Turkey,TR,Music,14,2,76,424815000.0,106200.0,1700000.0,1300000.0,20400000.0,200000,1970-01-01 00:00:00.000002014,Jan,23,23.9,83429615,13.49,63097818,38.963745,35.243322
261,DJ Snake,24100000,8425505919.0,Music,DJ Snake,252,United States,US,Music,602,77,76,63293000.0,15800.0,253200.0,189900.0,3000000.0,0,1970-01-01 00:00:00.000002008,Sep,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
262,Diana and Roma ARA,24100000,11041261296.0,Unknown,Diana and Roma ARA,590,United States,US,Entertainment,379,76,70,66884000.0,16700.0,267500.0,200700.0,3200000.0,200000,1970-01-01 00:00:00.000002019,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
263,KSI,24100000,6002166932.0,Entertainment,KSI,1252,United Kingdom,GB,Music,1053,10,76,5439000.0,1400.0,21800.0,16300.0,261100.0,0,1970-01-01 00:00:00.000002009,Jul,25,60.0,66834405,3.85,55908316,55.378051,-3.435973
264,Spider Slack,24000000,13943030228.0,Comedy,Spider Slack,901,Brazil,BR,Comedy,252,13,14,761451000.0,190400.0,3000000.0,2300000.0,36500000.0,1100000,1970-01-01 00:00:00.000002020,May,18,51.3,212559417,12.08,183241641,-14.235004,-51.92528
265,Goldmines Movies,24000000,5652938599.0,Film & Animation,Ti Ti,3,Unknown,Unknown,People,4057888,0,7725,3.0,0.0,0.01,0.01,0.14,0,1970-01-01 00:00:00.000002018,Apr,30,0.0,0,0.0,0,0.0,0.0
266,Preston,24000000,8279004442.0,Gaming,Preston,4009,United States,US,Entertainment,621,78,72,151697000.0,37900.0,606800.0,455100.0,7300000.0,200000,1970-01-01 00:00:00.000002012,Jul,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
267,James Charles,23900000,4067878931.0,Entertainment,James Charles,505,United States,US,Entertainment,1860,79,73,58126000.0,14500.0,232500.0,174400.0,2800000.0,100000,1970-01-01 00:00:00.000002015,Dec,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
268,Collins Key,23900000,6582932625.0,Entertainment,Collins Key,257,United States,US,Entertainment,911,79,73,10853000.0,2700.0,43400.0,32600.0,520900.0,0,1970-01-01 00:00:00.000002011,Aug,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
269,Diana and Roma EN,23900000,7213499085.0,People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,787,79,73,177769000.0,44400.0,711100.0,533300.0,8500000.0,300000,1970-01-01 00:00:00.000002011,Dec,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
270,Venus Entertainment,23800000,5663125358.0,Entertainment,Venus Entertainment,70,Unknown,Unknown,Entertainment,367929,0,2500,31633.0,8.0,127.0,95.0,1500.0,0,1970-01-01 00:00:00.000002016,May,17,0.0,0,0.0,0,0.0,0.0
271,Troom Troom,23800000,10414479943.0,Howto & Style,Troom Troom,2425,United States,US,Howto,412,80,8,98052000.0,24500.0,392200.0,294200.0,4700000.0,100000,1970-01-01 00:00:00.000002015,Sep,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
272,Enrique Iglesias,23800000,17688774915.0,Music,Enrique Iglesias,443,United States,US,Music,154,80,77,122914000.0,30700.0,491700.0,368700.0,5900000.0,100000,1970-01-01 00:00:00.000002007,Apr,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
273,Ninja,23700000,2543809954.0,Gaming,Ninja,1732,United States,US,Games,3590,81,19,8368000.0,2100.0,33500.0,25100.0,401700.0,0,1970-01-01 00:00:00.000002011,Nov,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
274,FaZe Rug,23700000,7451792132.0,Gaming,FaZeRug,0,Canada,CA,Games,4057944,3885,7268,0.0,0.0,0.0,0.0,0.0,1,1970-01-01 00:00:00.000002012,Nov,30,68.9,36991981,5.56,30628482,56.130366,-106.346771
275,Mister Max,23700000,15510153803.0,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,208,11,74,32817000.0,8200.0,131300.0,98400.0,1600000.0,0,1970-01-01 00:00:00.000002014,Sep,22,60.0,66834405,3.85,55908316,55.378051,-3.435973
276,That Little Puff,23700000,20289689389.0,Pets & Animals,That Little Puff,769,United States,US,Animals,118,81,1,755054000.0,188800.0,3000000.0,2300000.0,36200000.0,1100000,1970-01-01 00:00:00.000002020,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
277,NickyJamTV,23600000,15901824841.0,Music,NickyJamTV,392,Unknown,Unknown,Music,193,3,78,77927000.0,19500.0,311700.0,233800.0,3700000.0,100000,1970-01-01 00:00:00.000002012,Jan,10,0.0,0,0.0,0,0.0,0.0
278,Juan De Dios Pantoja,23600000,2135644776.0,Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,4529,11,10,46862000.0,11700.0,187400.0,140600.0,2200000.0,200000,1970-01-01 00:00:00.000002014,Jun,9,40.2,126014024,3.42,102626859,23.634501,-102.552784
279,Logan Paul,23600000,5994002464.0,Entertainment,Logan Paul,719,United States,US,Entertainment,1057,82,75,10803000.0,2700.0,43200.0,32400.0,518600.0,0,1970-01-01 00:00:00.000002015,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
280,Maya and Mary,23600000,6766461070.0,Entertainment,Maya and Mary,552,United States,US,Entertainment,883,82,75,44542000.0,11100.0,178200.0,133600.0,2100000.0,400000,1970-01-01 00:00:00.000002013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
281,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,7920637200.0,Film & Animation,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1251,United Kingdom,GB,Film,668,12,19,53589000.0,13400.0,214400.0,160800.0,2600000.0,100000,1970-01-01 00:00:00.000002014,Jul,28,60.0,66834405,3.85,55908316,55.378051,-3.435973
282,Jelly,23500000,14777034543.0,Gaming,Jelly,6066,United Kingdom,GB,Games,229,13,20,41669000.0,10400.0,166700.0,125000.0,2000000.0,0,1970-01-01 00:00:00.000002014,May,27,60.0,66834405,3.85,55908316,55.378051,-3.435973
283,Miss Katy,23500000,14696994366.0,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,235,13,76,59629000.0,14900.0,238500.0,178900.0,2900000.0,0,1970-01-01 00:00:00.000002014,Nov,17,60.0,66834405,3.85,55908316,55.378051,-3.435973
284,Tilak,23400000,9465863821.0,Film & Animation,Tilak,6672,India,IN,Film,493,56,20,367347000.0,91800.0,1500000.0,1100000.0,17600000.0,900000,1970-01-01 00:00:00.000002020,Oct,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
285,Valentina Pontes ofc,23400000,7926899136.0,Film & Animation,Valentina Pontes ofc,1291,Brazil,BR,Entertainment,667,14,77,28285000.0,7100.0,113100.0,84900.0,1400000.0,0,1970-01-01 00:00:00.000002014,Apr,14,51.3,212559417,12.08,183241641,-14.235004,-51.92528
286,Sesame Street,23300000,22471357411.0,Entertainment,Sesame Street,3657,United States,US,Entertainment,99,83,78,124187000.0,31000.0,496700.0,372600.0,6000000.0,100000,1970-01-01 00:00:00.000002006,Jan,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
288,Lady Gaga,23200000,15751661213.0,People & Blogs,Lady Gaga,172,United States,US,Music,198,83,79,143169000.0,35800.0,572700.0,429500.0,6900000.0,100000,1970-01-01 00:00:00.000002008,May,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
289,Akshay Nagwadiya,23200000,7966720147.0,Entertainment,Akshay Nagwadiya,595,Unknown,Unknown,Entertainment,660,0,79,321179000.0,80300.0,1300000.0,963500.0,15400000.0,900000,1970-01-01 00:00:00.000002017,Oct,25,0.0,0,0.0,0,0.0,0.0
290,Wave Music Bhojpuri,23100000,12889240875.0,Music,Wave Music Bhojpuri,22578,India,IN,Music,293,59,81,52678000.0,13200.0,210700.0,158000.0,2500000.0,100000,1970-01-01 00:00:00.000002014,Aug,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
291,GMM GRAMMY OFFICIAL,23100000,25579831081.0,Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,68,4,81,130233000.0,32600.0,520900.0,390700.0,6300000.0,0,1970-01-01 00:00:00.000002010,Nov,8,49.3,69625582,0.75,35294600,15.870032,100.992541
292,TED,23100000,2551113422.0,People & Blogs,TED,4445,United States,US,Tech,3568,85,4,13246000.0,3300.0,53000.0,39700.0,635800.0,100000,1970-01-01 00:00:00.000002006,Dec,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
293,unknown boy varun,23100000,9299371231.0,Music,unknown boy varun,456,India,IN,Music,506,58,80,304021000.0,76000.0,1200000.0,912100.0,14600000.0,700000,1970-01-01 00:00:00.000002016,Sep,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
294,Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846.0,Shows,Kids TV - Nursery Rhymes And Baby Songs,3781,United States,US,Music,282,85,81,128448000.0,32100.0,513800.0,385300.0,6200000.0,700000,1970-01-01 00:00:00.000002013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
295,Tsuriki Show,23000000,31494513067.0,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34,1,15,756717000.0,189200.0,3000000.0,2300000.0,36300000.0,800000,1970-01-01 00:00:00.000002019,Jul,10,70.2,83132799,3.04,64324835,51.165691,10.451526
296,Technical Guruji,23000000,3378047383.0,Science & Technology,Technical Guruji,5041,India,IN,Tech,2420,60,5,22262000.0,5600.0,89000.0,66800.0,1100000.0,0,1970-01-01 00:00:00.000002015,Oct,19,28.1,1366417754,5.36,471031528,20.593684,78.96288
297,DrossRotzank,23000000,6041264489.0,Entertainment,DrossRotzank,1598,Argentina,AR,Entertainment,1040,5,80,35539000.0,8900.0,142200.0,106600.0,1700000.0,100000,1970-01-01 00:00:00.000002006,Mar,9,90.0,44938712,9.79,41339571,-38.416097,-63.616672
